Date,axis,hcl,hdfc,icici,indus,infy,kotak,sbi,techm,wipro,yes,tcs
2013-04-04,248.770004,372.750000,616.150024,183.417999,405.149994,720.013000,316.350006,206.759995,244.250000,222.550003,85.370003,1507.800049
2013-04-09,240.639999,370.250000,620.599976,180.009003,390.250000,691.588013,309.375000,198.824997,241.787994,196.850006,84.910004,2069.100098
2013-04-10,247.860001,382.500000,632.000000,182.600006,387.149994,703.911987,319.100006,202.315002,249.636993,201.125000,85.690002,2033.599976
2013-04-12,252.860001,388.049988,643.700012,190.063995,400.549988,574.161987,319.174988,208.179993,245.000000,191.899994,88.510002,2000.050049
2013-04-15,258.839996,382.475006,641.549988,190.382004,401.950012,584.763000,320.350006,214.630005,242.488007,189.550003,91.580002,1472.449951
2013-04-16,272.660004,381.399994,663.349976,196.164001,417.250000,574.062012,326.600006,218.309998,243.162994,190.675003,93.779999,1483.150024
2013-04-17,275.440002,375.649994,660.099976,199.572998,419.600006,570.963013,329.875000,224.514999,238.800003,187.274994,95.879997,1456.650024
2013-04-18,285.880005,368.125000,673.599976,204.117996,450.350006,573.924988,334.475006,229.964996,237.574997,184.524994,98.250000,1452.75
2013-04-22,288.230011,360.575012,698.299988,208.809006,466.399994,561.138000,338.250000,232.710007,232.725006,169.699997,98.870003,1425.300049
2013-04-23,288.959991,366.075012,689.000000,211.145004,461.149994,565.562012,345.950012,228.750000,231.024994,171.375000,99.040001,1430.550049
2013-04-25,300.679993,359.524994,689.549988,214.063995,467.850006,556.924988,355.250000,233.455002,231.886993,167.750000,100.760002,1402.300049
2013-04-26,297.269989,342.125000,689.099976,208.091003,458.149994,553.000000,356.375000,228.794998,231.574997,165.100006,99.550003,1369.349976
2013-04-29,295.079987,350.399994,695.150024,209.673004,477.700012,557.325012,354.500000,227.354996,236.449997,171.000000,100.989998,1370.75
2013-04-30,298.540009,360.700012,682.299988,211.572998,467.750000,558.862000,353.549988,226.429993,238.311996,174.175003,100.330002,1378.400024
2013-05-06,291.950012,375.000000,675.500000,207.755005,474.500000,585.275024,355.799988,222.610001,250.412994,178.675003,99.279999,1467.800049
2013-05-07,300.790009,376.750000,688.049988,211.626999,484.899994,587.200012,364.225006,225.679993,251.386993,175.399994,101.650002,1530.199951
2013-05-08,297.940002,375.450012,697.150024,210.535995,493.200012,587.661987,364.424988,225.470001,245.949997,175.524994,101.339996,1867.199951
2013-05-09,290.829987,385.075012,690.049988,209.572998,488.899994,590.349976,361.674988,229.095001,245.850006,177.399994,100.570000,1990.75
2013-05-13,290.399994,379.200012,692.750000,208.873001,493.149994,584.900024,362.500000,227.770004,238.712006,173.975006,100.570000,1451.599976
2013-05-14,293.500000,372.549988,689.049988,208.626999,490.299988,587.513000,364.950012,229.304993,239.613007,173.824997,101.529999,1457.949951
2013-05-15,301.739990,372.774994,714.849976,216.591003,514.049988,590.112000,384.125000,238.274994,238.500000,173.074997,105.570000,1471.550049
2013-05-16,306.179993,369.450012,722.799988,219.544998,524.549988,583.150024,388.975006,241.934998,235.574997,173.225006,108.510002,1454.050049
2013-05-17,307.049988,359.975006,718.900024,223.718002,511.100006,587.937988,397.174988,242.485001,231.962006,172.000000,108.550003,1473.800049
2013-05-20,305.940002,363.899994,714.500000,219.964005,501.799988,593.013000,390.875000,241.179993,230.524994,168.975006,105.980003,1472.400024
2013-05-21,304.109985,368.325012,707.799988,220.182007,496.299988,599.400024,382.549988,236.070007,227.462006,169.449997,103.050003,1492.849976
2013-05-22,302.589996,371.825012,703.450012,220.018005,494.299988,596.325012,384.049988,236.300003,235.824997,171.024994,101.970001,1498.400024
2013-05-23,291.040009,368.424988,698.599976,213.145004,491.100006,589.963013,382.774994,217.759995,238.125000,168.550003,99.339996,1492.699951
2013-05-24,292.239990,368.774994,701.349976,218.936005,498.250000,586.974976,390.524994,215.119995,237.863007,168.100006,101.000000,1469.550049
